Trade #,Type,Date and time,Signal,Price USDT,Size (qty),Size (value),Net P&L USDT,Net P&L %,Favorable excursion USDT,Favorable excursion %,Adverse excursion USDT,Adverse excursion %,Cumulative P&L USDT,Cumulative P&L %
24,Entry long,2023-05-18 01:00:00,Long,1797.71,0.0111,19.954581,0.16,0.8,0.25,1.24,-0.08,-0.4,7.96,7.96
25,Exit long,2023-05-18 09:00:00,BE Stop,1819.9,0.0445,79.99809499999999,0.83,1.03,1.6,1.99,-0.32,-0.4,8.86,8.86
25,Entry long,2023-05-18 01:00:00,Long,1797.71,0.0445,79.99809499999999,0.83,1.03,1.6,1.99,-0.32,-0.4,8.86,8.86
26,Exit long,2023-05-19 08:00:00,TP1 VWAP,1814.4,0.0111,19.927164,0.17,0.87,0.28,1.4,-0.04,-0.22,8.96,8.96
26,Entry long,2023-05-19 06:00:00,Long,1795.24,0.0111,19.927164,0.17,0.87,0.28,1.4,-0.04,-0.22,8.96,8.96
27,Exit long,2023-05-19 10:00:00,BE Stop,1800.88,0.0446,80.067704,0.09,0.11,1.12,1.4,-0.18,-0.22,9.13,9.13
27,Entry long,2023-05-19 06:00:00,Long,1795.24,0.0446,80.067704,0.09,0.11,1.12,1.4,-0.18,-0.22,9.13,9.13
28,Exit long,2023-05-26 18:00:00,TP1 VWAP,1816.34,0.011,19.8484,0.09,0.46,0.15,0.73,-0.52,-2.62,9.14,9.14
28,Entry long,2023-05-25 07:00:00,Long,1804.4,0.011,19.8484,0.09,0.46,0.15,0.73,-0.52,-2.62,9.14,9.14
29,Exit long,2023-05-27 09:00:00,BE Stop,1825.93,0.0444,80.11536000000001,0.79,0.99,1.41,1.76,-2.1,-2.62,10.01,10.01
29,Entry long,2023-05-25 07:00:00,Long,1804.4,0.0444,80.11536000000001,0.79,0.99,1.41,1.76,-2.1,-2.62,10.01,10.01
30,Exit long,2023-06-06 02:00:00,SL,1820.21,0.0534,99.85906800000001,-2.86,-2.86,0,0,-2.77,-2.77,7.16,7.16
30,Entry long,2023-06-05 22:00:00,Long,1870.02,0.0534,99.85906800000001,-2.86,-2.86,0,0,-2.77,-2.77,7.16,7.16
31,Exit long,2023-06-30 15:00:00,TP1 VWAP,1887.9,0.0107,19.914839999999998,0.25,1.23,0.49,2.45,-0.03,-0.14,7.32,7.32
31,Entry long,2023-06-30 13:00:00,Long,1861.2,0.0107,19.914839999999998,0.25,1.23,0.49,2.45,-0.03,-0.14,7.32,7.32
32,Exit long,2023-06-30 17:00:00,BE Stop,1875.21,0.043,80.0316,0.44,0.55,1.97,2.45,-0.11,-0.14,7.84,7.84
32,Entry long,2023-06-30 13:00:00,Long,1861.2,0.043,80.0316,0.44,0.55,1.97,2.45,-0.11,-0.14,7.84,7.84
33,Exit long,2023-07-01 04:00:00,TP1 VWAP,1932.19,0.0105,19.935720000000003,0.31,1.56,0.5,2.5,-0.02,-0.1,8.08,8.08
33,Entry long,2023-07-01 03:00:00,Long,1898.64,0.0105,19.935720000000003,0.31,1.56,0.5,2.5,-0.02,-0.1,8.08,8.08
34,Exit long,2023-07-01 13:00:00,BE Stop,1921.02,0.0421,79.932744,0.78,0.98,2,2.5,-0.08,-0.1,8.94,8.94
34,Entry long,2023-07-01 03:00:00,Long,1898.64,0.0421,79.932744,0.78,0.98,2,2.5,-0.08,-0.1,8.94,8.94
35,Exit long,2023-07-07 10:00:00,SL,1845.86,0.0529,99.894244,-2.45,-2.45,0.22,0.22,-2.36,-2.36,6.49,6.49
35,Entry long,2023-07-07 02:00:00,Long,1888.36,0.0529,99.894244,-2.45,-2.45,0.22,0.22,-2.36,-2.36,6.49,6.49
36,Exit long,2023-07-13 20:00:00,TP1 VWAP,1882.67,0.0107,19.995197,0.11,0.55,0.15,0.73,-0.03,-0.13,6.52,6.52
36,Entry long,2023-07-13 16:00:00,Long,1868.71,0.0107,19.995197,0.11,0.55,0.15,0.73,-0.03,-0.13,6.52,6.52
37,Exit long,2023-07-14 08:00:00,BE Stop,1983.66,0.0428,79.980788,4.75,5.94,6.27,7.83,-0.1,-0.13,11.36,11.36
37,Entry long,2023-07-13 16:00:00,Long,1868.71,0.0428,79.980788,4.75,5.94,6.27,7.83,-0.1,-0.13,11.36,11.36
38,Exit long,2023-07-31 11:00:00,TP1 VWAP,1872.98,0.0107,19.923078999999998,0.08,0.39,0.15,0.76,-0.03,-0.14,11.35,11.35
38,Entry long,2023-07-31 10:00:00,Long,1861.97,0.0107,19.923078999999998,0.08,0.39,0.15,0.76,-0.03,-0.14,11.35,11.35
39,Exit long,2023-07-31 14:00:00,BE Stop,1869.37,0.043,80.06470999999999,0.16,0.2,0.61,0.76,-0.11,-0.14,11.59,11.59
39,Entry long,2023-07-31 10:00:00,Long,1861.97,0.043,80.06470999999999,0.16,0.2,0.61,0.76,-0.11,-0.14,11.59,11.59
40,Exit long,2023-08-07 13:00:00,BE Stop,1844.47,0.0434,79.987502,-0.1,-0.12,0.63,0.79,-1.29,-1.61,11.47,11.47
40,Entry long,2023-08-03 02:00:00,Long,1843.03,0.0434,79.987502,-0.1,-0.12,0.63,0.79,-1.29,-1.61,11.47,11.47
41,Exit long,2023-08-07 14:00:00,BE Stop,1838.72,0.0108,19.904724,-0.09,-0.43,0.16,0.79,-0.32,-1.61,11.41,11.41
41,Entry long,2023-08-03 02:00:00,Long,1843.03,0.0108,19.904724,-0.09,-0.43,0.16,0.79,-0.32,-1.61,11.41,11.41
42,Exit long,2023-08-23 03:00:00,SL,1648.2,0.0597,99.862578,-1.66,-1.66,0.57,0.57,-2.85,-2.85,9.74,9.74
42,Entry long,2023-08-21 19:00:00,Long,1672.74,0.0597,99.862578,-1.66,-1.66,0.57,0.57,-2.85,-2.85,9.74,9.74
43,Exit long,2023-08-28 01:00:00,TP1 VWAP,1657.58,0.0121,19.964758,0.05,0.26,0.32,1.59,-0.2,-0.99,9.72,9.72
43,Entry long,2023-08-25 06:00:00,Long,1649.98,0.0121,19.964758,0.05,0.26,0.32,1.59,-0.2,-0.99,9.72,9.72
44,Exit long,2023-08-28 02:00:00,BE Stop,1655.28,0.0485,80.02403,0.1,0.12,1.28,1.59,-0.79,-0.99,9.89,9.89
44,Entry long,2023-08-25 06:00:00,Long,1649.98,0.0485,80.02403,0.1,0.12,1.28,1.59,-0.79,-0.99,9.89,9.89
45,Exit long,2023-08-30 01:00:00,TP1 VWAP,1721.21,0.0121,19.918657,0.87,4.35,1.08,5.41,-0.06,-0.31,10.68,10.68
45,Entry long,2023-08-29 23:00:00,Long,1646.17,0.0121,19.918657,0.87,4.35,1.08,5.41,-0.06,-0.31,10.68,10.68
46,Exit long,2023-08-30 07:00:00,BE Stop,1726.51,0.0486,80.003862,3.74,4.67,4.82,6.02,-0.25,-0.31,14.5,14.5
46,Entry long,2023-08-29 23:00:00,Long,1646.17,0.0486,80.003862,3.74,4.67,4.82,6.02,-0.25,-0.31,14.5,14.5
47,Exit long,2023-09-08 07:00:00,BE Stop,1638.64,0.0486,80.026218,-0.55,-0.68,0.37,0.46,-1.21,-1.5,13.93,13.93
47,Entry long,2023-09-07 04:00:00,Long,1646.63,0.0486,80.026218,-0.55,-0.68,0.37,0.46,-1.21,-1.5,13.93,13.93
48,Exit long,2023-09-08 08:00:00,BE Stop,1645.92,0.0121,19.924223,-0.05,-0.24,0.14,0.7,-0.3,-1.5,13.9,13.9
48,Entry long,2023-09-07 04:00:00,Long,1646.63,0.0121,19.924223,-0.05,-0.24,0.14,0.7,-0.3,-1.5,13.9,13.9
49,Exit long,2023-09-11 03:00:00,SL,1613.81,0.0614,99.887362,-1,-1,0.02,0.02,-2.44,-2.44,12.91,12.91
49,Entry long,2023-09-10 17:00:00,Long,1626.83,0.0614,99.887362,-1,-1,0.02,0.02,-2.44,-2.44,12.91,12.91
50,Exit long,2023-09-21 21:00:00,SL,1591.75,0.0615,99.92643,-2.23,-2.23,0.22,0.22,-2.41,-2.41,10.67,10.67
50,Entry long,2023-09-21 07:00:00,Long,1624.82,0.0615,99.92643,-2.23,-2.23,0.22,0.22,-2.41,-2.41,10.67,10.67
51,Exit long,2023-10-06 03:00:00,SL,1618.34,0.0608,99.877376,-1.68,-1.68,0.23,0.23,-2.39,-2.39,8.99,8.99
51,Entry long,2023-10-06 01:00:00,Long,1642.72,0.0608,99.877376,-1.68,-1.68,0.23,0.23,-2.39,-2.39,8.99,8.99
52,Exit long,2023-10-09 21:00:00,SL,1592.17,0.0613,99.896319,-2.49,-2.49,1.95,1.95,-3.14,-3.14,6.5,6.5
52,Entry long,2023-10-07 01:00:00,Long,1629.63,0.0613,99.896319,-2.49,-2.49,1.95,1.95,-3.14,-3.14,6.5,6.5
53,Exit long,2023-10-20 07:00:00,TP1 VWAP,1567.98,0.0128,19.869184,0.16,0.81,0.27,1.36,-0.17,-0.85,6.58,6.58
53,Entry long,2023-10-19 17:00:00,Long,1552.28,0.0128,19.869184,0.16,0.81,0.27,1.36,-0.17,-0.85,6.58,6.58
54,Exit long,2023-10-21 00:00:00,BE Stop,1607.01,0.0516,80.09764799999999,2.66,3.32,3.98,4.97,-0.68,-0.85,9.32,9.32
54,Entry long,2023-10-19 17:00:00,Long,1552.28,0.0516,80.09764799999999,2.66,3.32,3.98,4.97,-0.68,-0.85,9.32,9.32
55,Exit long,2023-11-18 02:00:00,SL,1933.41,0.0497,99.81847400000001,-3.92,-3.93,0.22,0.22,-4.2,-4.2,5.4,5.4
55,Entry long,2023-11-17 04:00:00,Long,2008.42,0.0497,99.81847400000001,-3.92,-3.93,0.22,0.22,-4.2,-4.2,5.4,5.4
56,Exit long,2023-11-22 20:00:00,TP1 VWAP,2002.66,0.0102,19.945590000000003,0.44,2.21,0.48,2.4,-0.03,-0.17,5.76,5.76
56,Entry long,2023-11-22 12:00:00,Long,1955.45,0.0102,19.945590000000003,0.44,2.21,0.48,2.4,-0.03,-0.17,5.76,5.76
57,Exit long,2023-11-23 10:00:00,BE Stop,2064.87,0.0409,79.97790499999999,4.31,5.38,5.55,6.93,-0.13,-0.17,10.15,10.15
57,Entry long,2023-11-22 12:00:00,Long,1955.45,0.0409,79.97790499999999,4.31,5.38,5.55,6.93,-0.13,-0.17,10.15,10.15
58,Exit long,2023-11-29 04:00:00,TP1 VWAP,2057,0.0098,19.835886,0.28,1.42,0.37,1.87,-0.4,-2.02,10.35,10.35
58,Entry long,2023-11-28 01:00:00,Long,2024.07,0.0098,19.835886,0.28,1.42,0.37,1.87,-0.4,-2.02,10.35,10.35
59,Exit long,2023-11-29 06:00:00,BE Stop,2057.61,0.0396,80.153172,1.17,1.45,1.98,2.46,-1.62,-2.02,11.6,11.6
59,Entry long,2023-11-28 01:00:00,Long,2024.07,0.0396,80.153172,1.17,1.45,1.98,2.46,-1.62,-2.02,11.6,11.6
60,Exit long,2023-12-01 13:00:00,TP1 VWAP,2088.19,0.0098,19.921832,0.5,2.52,0.56,2.8,-0.15,-0.74,12.02,12.02
60,Entry long,2023-11-30 05:00:00,Long,2032.84,0.0098,19.921832,0.5,2.52,0.56,2.8,-0.15,-0.74,12.02,12.02
61,Exit long,2023-12-01 22:00:00,BE Stop,2089.99,0.0393,79.890612,2.08,2.61,3.07,3.84,-0.59,-0.74,14.19,14.19
61,Entry long,2023-11-30 05:00:00,Long,2032.84,0.0393,79.890612,2.08,2.61,3.07,3.84,-0.59,-0.74,14.19,14.19
62,Exit long,2023-12-13 05:00:00,SL,2172.94,0.0444,99.97104,-3.69,-3.69,0.08,0.08,-4.34,-4.34,10.5,10.5
62,Entry long,2023-12-11 15:00:00,Long,2251.6,0.0444,99.97104,-3.69,-3.69,0.08,0.08,-4.34,-4.34,10.5,10.5
63,Exit long,2023-12-21 22:00:00,TP1 VWAP,2245.66,0.0091,19.955481,0.44,2.2,0.48,2.42,-0.1,-0.51,10.86,10.86
63,Entry long,2023-12-21 10:00:00,Long,2192.91,0.0091,19.955481,0.44,2.2,0.48,2.42,-0.1,-0.51,10.86,10.86
64,Exit long,2023-12-22 02:00:00,BE Stop,2216.16,0.0365,80.041215,0.69,0.86,3.15,3.93,-0.4,-0.51,11.62,11.62
64,Entry long,2023-12-21 10:00:00,Long,2192.91,0.0365,80.041215,0.69,0.86,3.15,3.93,-0.4,-0.51,11.62,11.62
65,Exit long,2023-12-27 22:00:00,TP1 VWAP,2279.42,0.0089,19.935644,0.31,1.56,0.34,1.72,-0.55,-2.77,11.85,11.85
65,Entry long,2023-12-26 22:00:00,Long,2239.96,0.0089,19.935644,0.31,1.56,0.34,1.72,-0.55,-2.77,11.85,11.85
66,Exit long,2023-12-28 05:00:00,BE Stop,2347.01,0.0357,79.96657200000001,3.66,4.57,4.83,6.03,-2.22,-2.77,15.59,15.59
66,Entry long,2023-12-26 22:00:00,Long,2239.96,0.0357,79.96657200000001,3.66,4.57,4.83,6.03,-2.22,-2.77,15.59,15.59
67,Exit long,2024-01-09 05:00:00,TP1 VWAP,2307.69,0.0089,19.868538,0.63,3.17,0.66,3.32,-0.61,-3.07,16.14,16.14
67,Entry long,2024-01-06 05:00:00,Long,2232.42,0.0089,19.868538,0.63,3.17,0.66,3.32,-0.61,-3.07,16.14,16.14
68,Exit long,2024-01-09 08:00:00,BE Stop,2336.87,0.0358,79.920636,3.58,4.47,4.49,5.61,-2.46,-3.07,19.8,19.8
68,Entry long,2024-01-06 05:00:00,Long,2232.42,0.0358,79.920636,3.58,4.47,4.49,5.61,-2.46,-3.07,19.8,19.8
69,Exit long,2024-01-19 05:00:00,SL,2481.62,0.0393,99.81649800000001,-2.49,-2.49,0.29,0.29,-2.99,-2.99,17.31,17.31
69,Entry long,2024-01-18 08:00:00,Long,2539.86,0.0393,99.81649800000001,-2.49,-2.49,0.29,0.29,-2.99,-2.99,17.31,17.31
70,Exit long,2024-02-05 19:00:00,BE Stop,2310.27,0.0347,79.95990400000001,0.05,0.06,0.2,0.25,-1.31,-1.64,17.34,17.34
70,Entry long,2024-02-05 08:00:00,Long,2304.32,0.0347,79.95990400000001,0.05,0.06,0.2,0.25,-1.31,-1.64,17.34,17.34
71,Exit long,2024-02-06 02:00:00,BE Stop,2318.31,0.0086,19.817152,0.08,0.41,0.28,1.39,-0.33,-1.64,17.44,17.44
71,Entry long,2024-02-05 08:00:00,Long,2304.32,0.0086,19.817152,0.08,0.41,0.28,1.39,-0.33,-1.64,17.44,17.44
72,Exit long,2024-02-06 14:00:00,TP1 VWAP,2324.49,0.0087,19.967109,0.22,1.08,0.28,1.42,-0.05,-0.24,17.57,17.57
72,Entry long,2024-02-06 10:00:00,Long,2295.07,0.0087,19.967109,0.22,1.08,0.28,1.42,-0.05,-0.24,17.57,17.57
73,Exit long,2024-02-06 16:00:00,BE Stop,2314.96,0.0348,79.868436,0.53,0.67,1.13,1.42,-0.2,-0.24,18.19,18.19
73,Entry long,2024-02-06 10:00:00,Long,2295.07,0.0348,79.868436,0.53,0.67,1.13,1.42,-0.2,-0.24,18.19,18.19
74,Exit long,2024-03-15 14:00:00,SL,3749.68,0.0256,99.68384,-3.89,-3.9,1.05,1.06,-5.04,-5.05,14.3,14.3
74,Entry long,2024-03-15 04:00:00,Long,3893.9,0.0256,99.68384,-3.89,-3.9,1.05,1.06,-5.04,-5.05,14.3,14.3
75,Exit long,2024-03-24 02:00:00,TP1 VWAP,3415.02,0.0059,19.759572,0.35,1.77,0.42,2.13,-0.63,-3.17,14.57,14.57
75,Entry long,2024-03-23 03:00:00,Long,3349.08,0.0059,19.759572,0.35,1.77,0.42,2.13,-0.63,-3.17,14.57,14.57
76,Exit long,2024-03-24 10:00:00,BE Stop,3378.52,0.0239,80.043012,0.54,0.68,2.01,2.51,-2.54,-3.17,15.19,15.19
76,Entry long,2024-03-23 03:00:00,Long,3349.08,0.0239,80.043012,0.54,0.68,2.01,2.51,-2.54,-3.17,15.19,15.19
77,Exit long,2024-04-07 12:00:00,TP1 VWAP,3389.42,0.006,19.85358,0.44,2.23,0.53,2.64,-0.63,-3.15,15.55,15.55
77,Entry long,2024-04-05 15:00:00,Long,3308.93,0.006,19.85358,0.44,2.23,0.53,2.64,-0.63,-3.15,15.55,15.55
78,Exit long,2024-04-07 20:00:00,BE Stop,3383.41,0.0242,80.076106,1.64,2.05,2.5,3.11,-2.52,-3.15,17.27,17.27
78,Entry long,2024-04-05 15:00:00,Long,3308.93,0.0242,80.076106,1.64,2.05,2.5,3.11,-2.52,-3.15,17.27,17.27
79,Exit long,2024-04-19 19:00:00,BE Stop,3111.46,0.0258,79.973292,0.14,0.18,0.7,0.87,-6.19,-7.73,17.4,17.4
79,Entry long,2024-04-16 06:00:00,Long,3099.74,0.0258,79.973292,0.14,0.18,0.7,0.87,-6.19,-7.73,17.4,17.4
80,Exit long,2024-04-19 20:00:00,BE Stop,3102.65,0.0064,19.838335999999998,-0.02,-0.11,0.17,0.87,-1.54,-7.73,17.39,17.39
80,Entry long,2024-04-16 06:00:00,Long,3099.74,0.0064,19.838335999999998,-0.02,-0.11,0.17,0.87,-1.54,-7.73,17.39,17.39
81,Exit long,2024-04-28 04:00:00,TP1 VWAP,3258.63,0.0064,19.969152,0.85,4.23,0.93,4.63,-0.11,-0.54,18.16,18.16
81,Entry long,2024-04-27 13:00:00,Long,3120.18,0.0064,19.969152,0.85,4.23,0.93,4.63,-0.11,-0.54,18.16,18.16
82,Exit long,2024-04-28 06:00:00,BE Stop,3237.68,0.0256,79.876608,2.85,3.56,4.18,5.23,-0.43,-0.54,21.08,21.08
82,Entry long,2024-04-27 13:00:00,Long,3120.18,0.0256,79.876608,2.85,3.56,4.18,5.23,-0.43,-0.54,21.08,21.08
83,Exit long,2024-05-31 04:00:00,TP1 VWAP,3811.55,0.0053,19.835196999999997,0.33,1.64,0.42,2.13,-0.06,-0.32,21.33,21.33
83,Entry long,2024-05-30 21:00:00,Long,3742.49,0.0053,19.835196999999997,0.33,1.64,0.42,2.13,-0.06,-0.32,21.33,21.33
84,Exit long,2024-05-31 06:00:00,BE Stop,3762.01,0.0214,80.08928599999999,0.26,0.32,1.71,2.13,-0.26,-0.32,21.67,21.67
84,Entry long,2024-05-30 21:00:00,Long,3742.49,0.0214,80.08928599999999,0.26,0.32,1.71,2.13,-0.26,-0.32,21.67,21.67
85,Exit long,2024-05-31 23:00:00,TP1 VWAP,3825.29,0.0053,19.796613,0.44,2.21,0.6,3.05,-0.05,-0.23,22.03,22.03
85,Entry long,2024-05-31 19:00:00,Long,3735.21,0.0053,19.796613,0.44,2.21,0.6,3.05,-0.05,-0.23,22.03,22.03
86,Exit long,2024-06-01 00:00:00,BE Stop,3786.35,0.0214,79.933494,0.93,1.17,2.44,3.05,-0.18,-0.23,23.04,23.04
86,Entry long,2024-05-31 19:00:00,Long,3735.21,0.0214,79.933494,0.93,1.17,2.44,3.05,-0.18,-0.23,23.04,23.04
87,Exit long,2024-06-03 17:00:00,TP1 VWAP,3826.14,0.0052,19.786052,0.07,0.35,0.18,0.91,-0.3,-1.52,23.03,23.03
87,Entry long,2024-06-02 22:00:00,Long,3805.01,0.0052,19.786052,0.07,0.35,0.18,0.91,-0.3,-1.52,23.03,23.03
88,Exit long,2024-06-03 18:00:00,BE Stop,3818.01,0.021,79.90521000000001,0.11,0.14,0.73,0.91,-1.21,-1.52,23.22,23.22
88,Entry long,2024-06-02 22:00:00,Long,3805.01,0.021,79.90521000000001,0.11,0.14,0.73,0.91,-1.21,-1.52,23.22,23.22
89,Exit long,2024-06-05 02:00:00,BE Stop,3810.34,0.0211,80.10804900000001,0.13,0.16,0.39,0.48,-1.59,-1.98,23.33,23.33
89,Entry long,2024-06-04 02:00:00,Long,3796.59,0.0211,80.10804900000001,0.13,0.16,0.39,0.48,-1.59,-1.98,23.33,23.33
90,Exit long,2024-06-05 06:00:00,BE Stop,3800.79,0.0052,19.742268,-0.02,-0.09,0.17,0.88,-0.39,-1.98,23.33,23.33
90,Entry long,2024-06-04 02:00:00,Long,3796.59,0.0052,19.742268,-0.02,-0.09,0.17,0.88,-0.39,-1.98,23.33,23.33
91,Exit long,2024-06-10 18:00:00,SL,3648.87,0.027,99.64944,-1.33,-1.33,0,0,-1.36,-1.36,22.01,22.01
91,Entry long,2024-06-10 15:00:00,Long,3690.72,0.027,99.64944,-1.33,-1.33,0,0,-1.36,-1.36,22.01,22.01
92,Exit long,2024-06-15 23:00:00,TP1 VWAP,3563.96,0.0057,19.973655,0.3,1.5,0.33,1.66,-0.26,-1.31,22.23,22.23
92,Entry long,2024-06-15 08:00:00,Long,3504.15,0.0057,19.973655,0.3,1.5,0.33,1.66,-0.26,-1.31,22.23,22.23
93,Exit long,2024-06-16 19:00:00,BE Stop,3553.94,0.0228,79.89462,0.97,1.22,1.98,2.47,-1.05,-1.31,23.28,23.28
93,Entry long,2024-06-15 08:00:00,Long,3504.15,0.0228,79.89462,0.97,1.22,1.98,2.47,-1.05,-1.31,23.28,23.28
94,Exit long,2024-06-24 09:00:00,SL,3425.72,0.0287,99.831802,-1.71,-1.71,0.002,0,-2.38,-2.38,21.57,21.57
94,Entry long,2024-06-24 05:00:00,Long,3478.46,0.0287,99.831802,-1.71,-1.71,0.002,0,-2.38,-2.38,21.57,21.57
95,Exit long,2024-06-27 23:00:00,TP1 VWAP,3435.6,0.0059,19.8948,0.34,1.68,0.41,2.08,-0.12,-0.62,21.82,21.82
95,Entry long,2024-06-27 04:00:00,Long,3372,0.0059,19.8948,0.34,1.68,0.41,2.08,-0.12,-0.62,21.82,21.82
96,Exit long,2024-06-28 07:00:00,BE Stop,3443.81,0.0237,79.9164,1.54,1.93,2.43,3.04,-0.5,-0.62,23.44,23.44
96,Entry long,2024-06-27 04:00:00,Long,3372,0.0237,79.9164,1.54,1.93,2.43,3.04,-0.5,-0.62,23.44,23.44
97,Exit long,2024-07-24 07:00:00,TP1 VWAP,3482.19,0.0058,19.88617,0.27,1.36,0.38,1.89,-0.08,-0.38,23.63,23.63
97,Entry long,2024-07-24 04:00:00,Long,3428.65,0.0058,19.88617,0.27,1.36,0.38,1.89,-0.08,-0.38,23.63,23.63
98,Exit long,2024-07-24 12:00:00,BE Stop,3444.77,0.0233,79.887545,0.22,0.27,1.66,2.07,-0.3,-0.38,23.93,23.93
98,Entry long,2024-07-24 04:00:00,Long,3428.65,0.0233,79.887545,0.22,0.27,1.66,2.07,-0.3,-0.38,23.93,23.93
99,Exit long,2024-08-09 08:00:00,TP1 VWAP,2641.32,0.0082,19.780942,1.84,9.27,1.98,10.01,-0.89,-4.47,25.69,25.69
99,Entry long,2024-08-08 02:00:00,Long,2412.31,0.0082,19.780942,1.84,9.27,1.98,10.01,-0.89,-4.47,25.69,25.69
100,Exit long,2024-08-09 11:00:00,BE Stop,2666.44,0.0332,80.088692,8.27,10.31,10.33,12.89,-3.59,-4.47,34.04,34.04
100,Entry long,2024-08-08 02:00:00,Long,2412.31,0.0332,80.088692,8.27,10.31,10.33,12.89,-3.59,-4.47,34.04,34.04
101,Exit long,2024-08-18 20:00:00,TP1 VWAP,2644.88,0.0077,19.979267,0.35,1.73,0.54,2.72,-0.22,-1.09,34.3,34.3
101,Entry long,2024-08-17 03:00:00,Long,2594.71,0.0077,19.979267,0.35,1.73,0.54,2.72,-0.22,-1.09,34.3,34.3
102,Exit long,2024-08-19 04:00:00,BE Stop,2651.14,0.0308,79.917068,1.58,1.97,2.82,3.52,-0.87,-1.09,35.96,35.96
102,Entry long,2024-08-17 03:00:00,Long,2594.71,0.0308,79.917068,1.58,1.97,2.82,3.52,-0.87,-1.09,35.96,35.96
103,Exit long,2024-08-22 04:00:00,TP1 VWAP,2625.8,0.0076,19.774592000000002,0.14,0.72,0.2,0.99,-0.53,-2.69,36.02,36.02
103,Entry long,2024-08-21 06:00:00,Long,2601.92,0.0076,19.774592000000002,0.14,0.72,0.2,0.99,-0.53,-2.69,36.02,36.02
104,Exit long,2024-08-22 07:00:00,BE Stop,2630.41,0.0308,80.13913600000001,0.72,0.89,1.89,2.35,-2.16,-2.69,36.82,36.82
104,Entry long,2024-08-21 06:00:00,Long,2601.92,0.0308,80.13913600000001,0.72,0.89,1.89,2.35,-2.16,-2.69,36.82,36.82
105,Exit long,2024-09-02 09:00:00,SL,2406.08,0.0394,99.940858,-5.34,-5.33,0,0,-5.45,-5.44,31.48,31.48
105,Entry long,2024-08-31 05:00:00,Long,2536.57,0.0394,99.940858,-5.34,-5.33,0,0,-5.45,-5.44,31.48,31.48
106,Exit long,2024-09-04 11:00:00,SL,2396.26,0.0405,99.799695,-2.95,-2.95,0.13,0.13,-3.25,-3.25,28.53,28.53
106,Entry long,2024-09-04 07:00:00,Long,2464.19,0.0405,99.799695,-2.95,-2.95,0.13,0.13,-3.25,-3.25,28.53,28.53
107,Exit long,2024-09-12 03:00:00,TP1 VWAP,2346.68,0.0086,19.870386000000003,0.27,1.36,0.35,1.78,-0.09,-0.43,28.72,28.72
107,Entry long,2024-09-12 01:00:00,Long,2310.51,0.0086,19.870386000000003,0.27,1.36,0.35,1.78,-0.09,-0.43,28.72,28.72
108,Exit long,2024-09-12 05:00:00,BE Stop,2337.31,0.0346,79.943646,0.77,0.96,1.98,2.47,-0.34,-0.43,29.57,29.57
108,Entry long,2024-09-12 01:00:00,Long,2310.51,0.0346,79.943646,0.77,0.96,1.98,2.47,-0.34,-0.43,29.57,29.57
109,Exit long,2024-09-18 02:00:00,TP1 VWAP,2383.99,0.0086,19.869096000000003,0.59,2.98,0.7,3.54,-0.43,-2.15,30.08,30.08
109,Entry long,2024-09-16 18:00:00,Long,2310.36,0.0086,19.869096000000003,0.59,2.98,0.7,3.54,-0.43,-2.15,30.08,30.08
110,Exit long,2024-09-18 03:00:00,BE Stop,2368.55,0.0346,79.938456,1.85,2.31,2.83,3.54,-1.72,-2.15,32.01,32.01
110,Entry long,2024-09-16 18:00:00,Long,2310.36,0.0346,79.938456,1.85,2.31,2.83,3.54,-1.72,-2.15,32.01,32.01
111,Exit long,2024-10-01 15:00:00,TP1 VWAP,2644.41,0.0076,19.983896,0.07,0.37,0.13,0.64,-0.44,-2.22,32.01,32.01
111,Entry long,2024-09-30 22:00:00,Long,2629.46,0.0076,19.983896,0.07,0.37,0.13,0.64,-0.44,-2.22,32.01,32.01
112,Exit long,2024-10-01 16:00:00,BE Stop,2639.73,0.0304,79.935584,0.15,0.19,0.51,0.64,-1.77,-2.22,32.24,32.24
112,Entry long,2024-09-30 22:00:00,Long,2629.46,0.0304,79.935584,0.15,0.19,0.51,0.64,-1.77,-2.22,32.24,32.24
113,Exit long,2024-10-12 00:00:00,TP1 VWAP,2425.66,0.0083,19.853932,0.24,1.2,0.29,1.45,-0.53,-2.69,32.4,32.4
113,Entry long,2024-10-10 13:00:00,Long,2392.04,0.0083,19.853932,0.24,1.2,0.29,1.45,-0.53,-2.69,32.4,32.4
114,Exit long,2024-10-12 10:00:00,BE Stop,2439.54,0.0335,80.13334,1.43,1.78,2.6,3.24,-2.15,-2.69,33.91,33.91
114,Entry long,2024-10-10 13:00:00,Long,2392.04,0.0335,80.13334,1.43,1.78,2.6,3.24,-2.15,-2.69,33.91,33.91
115,Exit long,2024-11-04 02:00:00,SL,2425.47,0.0401,99.863436,-2.8,-2.8,0.23,0.23,-3.05,-3.05,31.11,31.11
115,Entry long,2024-11-03 02:00:00,Long,2490.36,0.0401,99.863436,-2.8,-2.8,0.23,0.23,-3.05,-3.05,31.11,31.11
116,Exit long,2024-11-19 11:00:00,TP1 VWAP,3208.14,0.0063,19.982529,0.19,0.94,0.32,1.6,-1.01,-5.04,31.22,31.22
116,Entry long,2024-11-15 04:00:00,Long,3171.83,0.0063,19.982529,0.19,0.94,0.32,1.6,-1.01,-5.04,31.22,31.22
