Trade #,Type,Date and time,Signal,Price USDT,Size (qty),Size (value),Net P&L USDT,Net P&L %,Favorable excursion USDT,Favorable excursion %,Adverse excursion USDT,Adverse excursion %,Cumulative P&L USDT,Cumulative P&L %
192,Entry long,2025-11-07 05:00:00,Long,3327.25,0.006,19.9635,0.74,3.68,0.94,4.69,-0.83,-4.17,43,43
193,Exit long,2025-11-10 18:00:00,BE Stop,3603.82,0.024,79.854,6.47,8.1,7.83,9.8,-3.33,-4.17,49.55,49.55
193,Entry long,2025-11-07 05:00:00,Long,3327.25,0.024,79.854,6.47,8.1,7.83,9.8,-3.33,-4.17,49.55,49.55
194,Exit long,2025-12-16 05:00:00,SL,2935.69,0.0324,99.71585999999999,-4.79,-4.8,3.16,3.16,-4.87,-4.88,44.76,44.76
194,Entry long,2025-12-13 06:00:00,Long,3077.65,0.0324,99.71585999999999,-4.79,-4.8,3.16,3.16,-4.87,-4.88,44.76,44.76
195,Exit long,2025-12-26 14:00:00,TP1 VWAP,2972.24,0.0068,19.835735999999997,0.34,1.69,0.51,2.55,-0.02,-0.12,45.01,45.01
195,Entry long,2025-12-26 13:00:00,Long,2917.02,0.0068,19.835735999999997,0.34,1.69,0.51,2.55,-0.02,-0.12,45.01,45.01
196,Exit long,2025-12-26 19:00:00,BE Stop,2955.35,0.0274,79.926348,0.89,1.11,2.04,2.55,-0.09,-0.12,45.98,45.98
196,Entry long,2025-12-26 13:00:00,Long,2917.02,0.0274,79.926348,0.89,1.11,2.04,2.55,-0.09,-0.12,45.98,45.98
197,Exit long,2025-12-30 15:00:00,TP1 VWAP,2950.15,0.0068,19.950452,0.07,0.35,0.12,0.6,-0.18,-0.88,45.97,45.97
197,Entry long,2025-12-30 03:00:00,Long,2933.89,0.0068,19.950452,0.07,0.35,0.12,0.6,-0.18,-0.88,45.97,45.97
198,Exit long,2025-12-30 16:00:00,BE Stop,2944.27,0.0272,79.801808,0.12,0.15,0.55,0.69,-0.7,-0.88,46.18,46.18
198,Entry long,2025-12-30 03:00:00,Long,2933.89,0.0272,79.801808,0.12,0.15,0.55,0.69,-0.7,-0.88,46.18,46.18
199,Exit long,2026-01-14 03:00:00,TP1 VWAP,3182.57,0.0064,19.855744,0.47,2.38,0.53,2.65,-0.31,-1.56,46.57,46.57
199,Entry long,2026-01-09 03:00:00,Long,3102.46,0.0064,19.855744,0.47,2.38,0.53,2.65,-0.31,-1.56,46.57,46.57
200,Exit long,2026-01-14 17:00:00,BE Stop,3329.83,0.0258,80.043468,5.7,7.11,7.54,9.42,-1.25,-1.56,52.35,52.35
200,Entry long,2026-01-09 03:00:00,Long,3102.46,0.0258,80.043468,5.7,7.11,7.54,9.42,-1.25,-1.56,52.35,52.35
201,Exit long,2026-01-28 04:00:00,TP1 VWAP,2989.49,0.0068,19.829072,0.46,2.31,0.54,2.71,-0.1,-0.51,52.73,52.73
201,Entry long,2026-01-27 23:00:00,Long,2916.04,0.0068,19.829072,0.46,2.31,0.54,2.71,-0.1,-0.51,52.73,52.73
202,Exit long,2026-01-28 05:00:00,BE Stop,2929.19,0.0274,79.899496,0.2,0.25,2.17,2.71,-0.41,-0.51,53.01,53.01
202,Entry long,2026-01-27 23:00:00,Long,2916.04,0.0274,79.899496,0.2,0.25,2.17,2.71,-0.41,-0.51,53.01,53.01
203,Exit long,2026-02-14 03:00:00,TP1 VWAP,2033.85,0.0103,19.823277,1.08,5.47,1.27,6.41,-0.19,-0.96,54.01,54.01
203,Entry long,2026-02-13 07:00:00,Long,1924.59,0.0103,19.823277,1.08,5.47,1.27,6.41,-0.19,-0.96,54.01,54.01
204,Exit long,2026-02-15 00:00:00,BE Stop,2070.29,0.0416,80.06294399999999,5.89,7.36,7.53,9.4,-0.77,-0.96,59.99,59.99
204,Entry long,2026-02-13 07:00:00,Long,1924.59,0.0416,80.06294399999999,5.89,7.36,7.53,9.4,-0.77,-0.96,59.99,59.99
205,Exit long,2026-02-17 14:00:00,TP1 VWAP,1997.65,0.0102,19.883982000000003,0.45,2.27,0.74,3.72,-0.16,-0.79,60.36,60.36
205,Entry long,2026-02-16 08:00:00,Long,1949.41,0.0102,19.883982000000003,0.45,2.27,0.74,3.72,-0.16,-0.79,60.36,60.36
206,Exit long,2026-02-17 17:00:00,BE Stop,1974.7,0.041,79.92581000000001,0.88,1.09,2.98,3.72,-0.64,-0.79,61.32,61.32
206,Entry long,2026-02-16 08:00:00,Long,1949.41,0.041,79.92581000000001,0.88,1.09,2.98,3.72,-0.64,-0.79,61.32,61.32
